Vegetative
Knoblauch;http://de.wikipedia.org/wiki/Schalotte;null;null;JANUARY;DECEMBER;JUNE;JULY;20;180;15.0;
Schalotte;http://de.wikipedia.org/wiki/Winterzwiebel;null;null;MARCH;APRIL;JULY;AUGUST;10;130;10.0;
Frühlingszwiebel;http://de.wikipedia.org/wiki/Zwiebel;JANUARY;MARCH;APRIL;MAY;JULY;OCTOBER;20;170;0.0;
Zwiebel säen;http://de.wikipedia.org/wiki/Perlzwiebel;JANUARY;MARCH;APRIL;AUGUST;SEPTEMBER;JUNE;15;220;5.0;
Perlzwiebel;http://de.wikipedia.org/wiki/Grünkohl;null;null;MARCH;MAY;JULY;AUGUST;15;220;5.0;
Grünkohl;http://de.wikipedia.org/wiki/Blumenkohl;MAY;JUNE;JULY;JULY;JANUARY;DECEMBER;10;160;75.0;
Blumenkohl;http://de.wikipedia.org/wiki/Broccoli;FEBRUARY;null;APRIL;AUGUST;JULY;MAY;15;175;60.0;
Broccoli;http://de.wikipedia.org/wiki/Chinakohl;FEBRUARY;MAY;JUNE;JUNE;AUGUST;DECEMBER;8;100;50.0;
Chinakohl;http://de.wikipedia.org/wiki/Blumenkohl#Formen_und_Typen;MARCH;JULY;APRIL;AUGUST;JUNE;OCTOBER;15;90;30.0;
Romanesco;http://de.wikipedia.org/wiki/Kohlrabi;APRIL;JULY;APRIL;JULY;JULY;NOVEMBER;10;110;60.0;
Kohlrabi;http://de.wikipedia.org/wiki/Pak_Choi;MARCH;JULY;APRIL;AUGUST;JUNE;NOVEMBER;8;85;25.0;
Pak Choi;http://de.wikipedia.org/wiki/Rotkohl;MARCH;AUGUST;APRIL;AUGUST;MAY;OCTOBER;10;90;25.0;
Rotkohl;http://de.wikipedia.org/wiki/Weißkohl;JANUARY;APRIL;APRIL;APRIL;MAY;NOVEMBER;15;160;50.0;
Weißkohl;http://de.wikipedia.org/wiki/Wirsing;JANUARY;APRIL;APRIL;AUGUST;MAY;MAY;15;120;50.0;
Wirsing;http://de.wikipedia.org/wiki/Rosenkohl;JANUARY;APRIL;APRIL;AUGUST;MAY;MAY;15;160;60.0;
Rosenkohl;http://en.wikipedia.org/wiki/Lotus_tetragonolobus;FEBRUARY;APRIL;MAY;JUNE;SEPTEMBER;DECEMBER;15;250;60.0;
Spargel-Erbsen
            (en);http://de.wikipedia.org/wiki/Erbse;null;null;MARCH;JUNE;JULY;SEPTEMBER;12;120;5.0;
Feld Erbse;http://de.wikipedia.org/wiki/Erbse;FEBRUARY;null;MARCH;MARCH;JULY;null;10;70;5.0;
Erbse;http://de.wikipedia.org/wiki/Kefe;FEBRUARY;MARCH;APRIL;MAY;JUNE;JULY;10;70;5.0;
Kefe;http://de.wikipedia.org/wiki/Feuerbohne;MARCH;null;APRIL;APRIL;JUNE;JULY;10;70;5.0;
Feuerbohne;http://en.wikipedia.org/wiki/Green_bean;null;null;MAY;JUNE;AUGUST;SEPTEMBER;12;90;5.0;
grüne
            Bohnen;http://de.wikipedia.org/wiki/Gartenbohne;MARCH;APRIL;MAY;JULY;AUGUST;SEPTEMBER;14;70;10.0;
Schnitt-Bohne;http://de.wikipedia.org/wiki/Gartenbohne;null;null;MARCH;APRIL;SEPTEMBER;null;14;70;10.0;
Gartenbohne;http://de.wikipedia.org/wiki/Gartenbohne;null;null;MAY;JUNE;JULY;SEPTEMBER;14;70;10.0;
Stam Bohne;http://de.wikipedia.org/wiki/Stangenbohne;null;null;MARCH;APRIL;JULY;SEPTEMBER;14;70;10.0;
Stangenbohne;http://de.wikipedia.org/wiki/Gartenbohne;MAY;null;JUNE;JUNE;JULY;SEPTEMBER;14;70;10.0;
Stick Bohne;http://de.wikipedia.org/wiki/Ackerbohne;null;null;MAY;JULY;AUGUST;SEPTEMBER;14;70;10.0;
Ackerbohne;https://de.wikipedia.org/wiki/Echter_Sellerie;JANUARY;FEBRUARY;MARCH;APRIL;JUNE;AUGUST;14;70;10.0;
Sellerie;http://de.wikipedia.org/wiki/Fleischkraut;FEBRUARY;MARCH;APRIL;MAY;AUGUST;NOVEMBER;15;160;35.0;
Fleischkraut;http://de.wikipedia.org/wiki/Radicchio;null;null;JUNE;JULY;OCTOBER;NOVEMBER;4;100;30.0;
Radicchio;http://de.wikipedia.org/wiki/Gemeine_Wegwarte;FEBRUARY;MARCH;JUNE;SEPTEMBER;OCTOBER;MAY;4;120;25.0;
Chicorée-Wurzeln;https://de.wikipedia.org/wiki/Erdbeeren;APRIL;null;MAY;JUNE;JANUARY;DECEMBER;15;280;10.0;
Erdbeeren;http://de.wikipedia.org/wiki/Aubergine;null;null;AUGUST;SEPTEMBER;JUNE;OCTOBER;20;170;35.0;
Aubergine;http://de.wikipedia.org/wiki/Gewürzgurke;MARCH;APRIL;JUNE;JUNE;SEPTEMBER;OCTOBER;40;90;80.0;
